File name,Keywords,Description,Date Created,Location,State,Country,Copyright,Creator,Usage terms,Credit,XMP Lat,XMP Long
CA01.jpg,"arches and windows, Cental Grand Canyon","View north through Royal Arch at pinnacle of Muav limestone, Royal Arch Canyon, a half mile north of river mile 117.2.",4/4/1969,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,11.48646N","112,27.20862W"
CA02.jpg,"arches and windows, Cental Grand Canyon","View north toward large pinnacle of Muav Limestone through Royal Arch, Royal Arch Creek canyon, a half mile south of river mile 117.2.",4/4/1969,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,11.48646N","112,27.20862W"
CA03.jpg,"arches and windows, Cental Grand Canyon","View north at arch in old river conglomerate, north side of river mile 139.0.",6/23/1976,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,24.06924N","112,32.55522W"
CA04.jpg,"arches and windows, Cental Grand Canyon","View north at Keyhole Natural Bridge sinkhole in western unnamed canyon, west of Hundred and Forty Mile Canyon and south of river mile 141.2.",3/20/1971,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,22.82214N","112,34.88766W"
CA05.jpg,"arches and windows, Cental Grand Canyon",View east and downstream through Keyhole Natural Bridge toward Hundred and Forty Mile Canyon in Redwall Limestone.,3/20/1971,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,22.81842N","112,34.8003W"
CA06.jpg,"arches and windows, Cental Grand Canyon","View west at Keyhole Natural Bridge in unnamed canyon west of Hundred and Forty Mile Canyon, about 1 mile south of river mile 171.2.",3/20/1971,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,22.81842N","112,34.8003W"
CA07.jpg,"arches and windows, Cental Grand Canyon","View south through arch in Tuckup Canyon, west side of Tuckup Canyon near top of Redwall Limestone.",2/28/1970,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,19.62552N","112,53.29284W"
CA08.jpg,"arches and windows, Cental Grand Canyon",View downstream to conglomerate arch in Tuckup Canyon.,9/20/1969,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,18.02616N","112,52.66992W"
CA09.jpg,"arches and windows, Cental Grand Canyon",View downstream through conglomerate arch in Tuckup Canyon.,2/28/1970,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,18.02616N","112,52.66992W"
CA10.jpg,"arches and windows, Cental Grand Canyon","View upstream at conglomerate arch, Tuckup Canyon.",9/20/1969,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,18.02616N","112,52.66992W"
CA11.jpg,"arches and windows, Cental Grand Canyon","Aerial view southwest toward arch in Esplanade Sandstone, west rim of unnamed canyon, 1 mile north of Yumtheska Point, Yumtheska Mesa.",3/13/1985,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,13.80714N","112,54.99114W"
CA12.jpg,"arches and windows, Cental Grand Canyon","View northeast through arch in Esplanade Sandstone, west rim of unnamed canyon, 1 mile north of Yumtheska Point.",3/13/1985,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,13.80714N","112,54.99114W"
CA13.jpg,"arches and windows, Cental Grand Canyon","Aerial view southeast toward Fern Glen arch, east side of Fern Glen Canyon, north side of river mile 168.5.",1/27/1971,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,15.84822N","112,55.09056W"
CA14.jpg,"arches and windows, Cental Grand Canyon","View west toward Fern Glen Arch from Esplanade Sandstone rim, north side of river mile 168.5.",2/27/1976,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,15.84822N","112,55.09056W"
CA15.jpg,"arches and windows, Cental Grand Canyon","Aerial view northwest through Fern Glen Arch, north side of river mile 168.5.",3/13/1985,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,15.84822N","112,55.09056W"
CA16.jpg,"arches and windows, Cental Grand Canyon","View north toward an arch in Redwall Limestone, west side of Stairway Canyon, 1 mile north of river mile 171.8.",3/14/1983,Central Grand Canyon,Arizona,USA,public domain,George Billingsley,public domain,"George Billingsley, U.S. Geological Survey","36,15.02196N","112,57.69966W"
